price,bed,bath,city,state,zip_code,house_size,city_enc,zip_enc,state_New York,state_New Jersey,latitude,longitude
1100000.0,4.0,4.0,Staten Island,New York,10307,3060.0,773585.7734724293,1068479.150943396,1,0,40.5085,-74.2445
3275000.0,3.0,2.0,Brooklyn,New York,11215,1832.0,1131744.071563981,2104641.937062937,1,0,40.6669,-73.9828
1895000.0,2.0,2.0,Manhattan,New York,10005,1373.0,2993058.858934169,2518846.9411764704,1,0,40.7056,-74.0083
375000.0,1.0,1.0,Brooklyn,New York,11209,850.0,1131744.071563981,875259.6513761468,1,0,40.6251,-74.0303
2499000.0,5.0,4.0,Brooklyn,New York,11214,3860.0,1131744.071563981,1043638.6341463416,1,0,40.6016,-73.9968
425000.0,4.0,3.0,Arden,New York,10302,1376.0,1092156.2474063982,615584.6,1,0,40.6306,-74.1379
1795000.0,2.0,3.0,Brooklyn,New York,11201,1450.0,1131744.071563981,2552267.1621004567,1,0,40.694,-73.9903
899000.0,3.0,5.0,Staten Island,New York,10308,1724.0,773585.7734724293,741919.5638297872,1,0,40.5518,-74.1526
3350000.0,3.0,2.0,Brooklyn,New York,11215,1711.0,1131744.071563981,2104641.937062937,1,0,40.6669,-73.9828
499000.0,1.0,1.0,Brooklyn,New York,11204,870.0,1131744.071563981,1204189.048780488,1,0,40.6179,-73.9856
1549000.0,6.0,4.0,Brooklyn,New York,11214,2208.0,1131744.071563981,1043638.6341463416,1,0,40.6016,-73.9968
475000.0,1.0,1.0,New York,New York,11218,750.0,2761969.686860528,1226674.5254237289,1,0,40.6424,-73.9758
450000.0,1.0,1.0,New York,New York,11218,700.0,2761969.686860528,1226674.5254237289,1,0,40.6424,-73.9758
1275000.0,3.0,3.0,Brooklyn,New York,11228,1408.0,1131744.071563981,1430739.7088607594,1,0,40.6174,-74.0121
650000.0,2.0,2.0,Staten Island,New York,10314,1300.0,773585.7734724293,716875.8803827751,1,0,40.6039,-74.1472
1370000.0,2.0,2.0,Brooklyn,New York,11201,1000.0,1131744.071563981,2552267.1621004567,1,0,40.694,-73.9903
